classification,housing_type,carOwner,freq_social_oncampus,freq_social_offcampus,info_methods,apps_used,cal_type,challenges_oncampus,challenges_offcampus,trans_diffic
Junior (Third Year),Off-campus,Yes,Rarely,Rarely,"Social media, School emails","Instagram, Facebook",Digital calendar (Google /Apple/Outlook Calendar),Event timing/availability,Lack of funds ,1
Junior (Third Year),On-campus,Yes,Monthly,Weekly,"Friends, School emails","Facebook, Snapchat",I did not use a calendar,"Lack of information, Time conflicts",Time conflicts,3
Junior (Third Year),On-campus,No,Daily,Weekly,Friends,"Snapchat, Whatsapp",I did not use a calendar,Time conflicts,"Lack of information, Finding transportation",3
Junior (Third Year),On-campus,No,Weekly,Never,Friends,Whatsapp,Digital calendar (Google /Apple/Outlook Calendar),Lack of information,Finding transportation,4
Junior (Third Year),On-campus,No,Weekly,Monthly,Friends,"Instagram, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Time conflicts, Event timing/availability, Finding transportation","Lack of information, Time conflicts, Event timing/availability, Finding transportation",5
Junior (Third Year),On-campus,No,Rarely,Never,Friends,Word of mouth from friends,Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Time conflicts, Event timing/availability",Lack of information,5
Junior (Third Year),On-campus,No,Monthly,Weekly,"Friends, Social media, School emails",Instagram,I did not use a calendar,"Time conflicts, Finding transportation","Lack of information, Finding transportation",5
Junior (Third Year),On-campus,No,Weekly,Rarely,"Friends, Flyers",Instagram,Physical calendar or Planner,"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability, Finding transportation",4
Junior (Third Year),On-campus,No,Weekly,Rarely,"Friends, School emails, Flyers",Facebook,Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Time conflicts, Event timing/availability","Lack of information, Time conflicts, Event timing/availability, Finding transportation",5
Senior (Fourth Year),On-campus,No,Weekly,Monthly,"Friends, Social media, School emails, Flyers",Instagram,A combination of calendars (physical and digital),"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability, Finding transportation",4
Senior (Fourth Year),On-campus,No,Rarely,Never,School emails,Outlook ,Physical calendar or Planner,"Lack of information, Time conflicts",Finding transportation,5
Senior (Fourth Year),On-campus,No,Weekly,Rarely,"Friends, Social media, School emails",Instagram,Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability","Lack of information, Finding transportation",4
Senior (Fourth Year),On-campus,No,Monthly,Never,"Friends, Social media, School emails, Flyers","Instagram, Facebook, Whatsapp, iMessage",A combination of calendars (physical and digital),"Time conflicts, Event timing/availability",Finding transportation,5
Senior (Fourth Year),On-campus,No,Rarely,Never,"Social media, School emails","Instagram, Emails",Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Time conflicts, Event timing/availability",Finding transportation,5
Senior (Fourth Year),On-campus,No,Rarely,Rarely,"Friends, Social media, School emails, Flyers","Instagram, Facebook",I did not use a calendar,"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability, Finding transportation",4
Senior (Fourth Year),On-campus,No,Monthly,Monthly,"School emails, Flyers","Instagram, Facebook",A combination of calendars (physical and digital),"Time conflicts, Event timing/availability, Finding transportation","Lack of information, Time conflicts, Event timing/availability, Finding transportation",4
Senior (Fourth Year),On-campus,Yes,Monthly,Rarely,"Friends, School emails, Flyers",Facebook,A combination of calendars (physical and digital),Time conflicts,Time conflicts,3
Senior (Fourth Year),On-campus,No,Monthly,Weekly,Friends,Instagram,Digital calendar (Google /Apple/Outlook Calendar),Events are not interesting,"Event timing/availability, ",1
Senior (Fourth Year),On-campus,No,Daily,Weekly,"Friends, Social media, School emails, Flyers","Instagram, Facebook",I did not use a calendar,"Time conflicts, Event timing/availability","Lack of information, Time conflicts, Event timing/availability, Finding transportation",4
Senior (Fourth Year),On-campus,Yes,Monthly,Never,"Friends, School emails, Flyers","Instagram, Facebook",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability",3
Senior (Fourth Year),On-campus,No,Monthly,Rarely,"Friends, School emails, Flyers","Whatsapp, School email",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Time conflicts,4
Senior (Fourth Year),On-campus,Yes,Never,Weekly,"Friends, School emails",Whatsapp,Digital calendar (Google /Apple/Outlook Calendar),"Lack of information, Time conflicts, Event timing/availability",Lack of information,1
Senior (Fourth Year),On-campus,No,Monthly,Never,"Friends, School emails",Whatsapp,A combination of calendars (physical and digital),No interest ,Finding transportation,5
Senior (Fourth Year),Off-campus,No,Weekly,Weekly,School emails,Instagram,I did not use a calendar,Lack of information,Finding transportation,4
Senior (Fourth Year),On-campus,No,Monthly,Weekly,"Friends, Social media, Church ","Instagram, Facebook, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Finding transportation,4
Senior (Fourth Year),On-campus,No,Monthly,Rarely,"Friends, School emails, Flyers",Instagram,Digital calendar (Google /Apple/Outlook Calendar),Time conflicts,"Lack of information, Event timing/availability",5
Sophomore (Second Year),On-campus,No,Rarely,Never,"Friends, School emails",Whatsapp,Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Finding transportation,5
Sophomore (Second Year),On-campus,No,Weekly,Monthly,"Friends, Social media","Instagram, Facebook, Snapchat, Whatsapp",A combination of calendars (physical and digital),"Time conflicts, Event timing/availability",Finding transportation,5
Sophomore (Second Year),On-campus,No,Weekly,Rarely,"Friends, School emails, Flyers","Snapchat, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability, Finding transportation","Lack of information, Time conflicts, Event timing/availability, Finding transportation, Too busy",5
Sophomore (Second Year),On-campus,No,Never,Never,School emails,"Instagram, Facebook, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),Finding transportation,Finding transportation,5
Sophomore (Second Year),On-campus,No,Monthly,Rarely,"Friends, School emails","Instagram, Whatsapp",I did not use a calendar,"Lack of information, Time conflicts, Event timing/availability","Lack of information, Finding transportation",4
Sophomore (Second Year),On-campus,No,Monthly,Rarely,"Friends, Social media, School emails","Instagram, Whatsapp",I did not use a calendar,"Event timing/availability, Lack of interest ",Finding transportation,4
Sophomore (Second Year),On-campus,No,Weekly,Monthly,"Friends, Social media, School emails, Flyers","Instagram, Snapchat, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability, Finding transportation",4
Sophomore (Second Year),On-campus,No,Weekly,Rarely,Friends,Instagram,Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Finding transportation,2
Sophomore (Second Year),On-campus,No,Weekly,Weekly,"Friends, Social media, School emails","Instagram, Facebook",Digital calendar (Google /Apple/Outlook Calendar),Time conflicts,Finding transportation,4
Sophomore (Second Year),On-campus,No,Weekly,Never,"Friends, School emails","Instagram, Facebook, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Finding transportation,5
Sophomore (Second Year),On-campus,No,Weekly,Weekly,Friends,"Instagram, Facebook, Snapchat",Digital calendar (Google /Apple/Outlook Calendar),Lack of information,"Lack of information, Event timing/availability, Finding transportation",3
Sophomore (Second Year),On-campus,Yes,Weekly,Weekly,"Friends, Social media","Instagram, Snapchat",Digital calendar (Google /Apple/Outlook Calendar),Time conflicts,Lack of information,1
Sophomore (Second Year),On-campus,No,Daily,Monthly,"Friends, Social media, School emails, Flyers","Instagram, Snapchat",A combination of calendars (physical and digital),"Time conflicts, Event timing/availability","Lack of information, Finding transportation",4
Sophomore (Second Year),On-campus,No,Weekly,Weekly,School emails,"Instagram, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Event timing/availability, Finding transportation","Lack of information, Finding transportation",5
Sophomore (Second Year),On-campus,No,Weekly,Never,"Friends, Flyers","Instagram, outlook ",I did not use a calendar,"Time conflicts, Event timing/availability",Event timing/availability,3
Sophomore (Second Year),Off-campus,No,Weekly,Never,"School emails, Flyers",Instagram,I did not use a calendar,"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability, Finding transportation",5
Super senior (4+),On-campus,No,Rarely,Weekly,"Friends, Social media",Instagram,I did not use a calendar,Time conflicts,Event timing/availability,1
Super senior (4+),On-campus,Yes,Daily,Daily,"Friends, Social media, School emails, Flyers","Instagram, Facebook, Snapchat, Whatsapp",Digital calendar (Google /Apple/Outlook Calendar),"Time conflicts, Event timing/availability",Lack of information,2
Super senior (4+),On-campus,Yes,Rarely,Rarely,"Social media, School emails, Flyers","Instagram, Snapchat",Physical calendar or Planner,"Time conflicts, Event timing/availability","Time conflicts, Event timing/availability",1
Super senior (4+),On-campus,No,Daily,Weekly,"Friends, School emails",Instagram,I did not use a calendar,"Time conflicts, Event timing/availability","Event timing/availability, Finding transportation",3
Super senior (4+),On-campus,Yes,Monthly,Rarely,My partner ,none,I did not use a calendar,"Time conflicts, Event timing/availability, ","Lack of information, Time conflicts, Event timing/availability, ",1
